City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
275,Arinos,BR,70.03,few clouds,-15.9169,-46.1056,casa do bruno
278,Sailāna,IN,74.48,overcast clouds,23.4667,74.9167,Krishna Marriage Garden Sailana
281,Santa Isabel Rio Negro,BR,79.56,overcast clouds,-0.4139,-65.0192,Hotel GSA
282,Guerrero Negro,MX,77.14,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
283,Lagoa,PT,71.74,overcast clouds,39.05,-27.9833,Casa Das Faias
288,Gunjur,GM,77.07,thunderstorm with light rain,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
292,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
293,Touros,BR,75.34,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
294,Zaozyornoye,UA,71.6,clear sky,45.1582,33.2787,"Molodozhnyy Lager' ""Pioner"""
299,Lixouri,GR,77.45,clear sky,38.2019,20.4314,Hotel Summery
303,Tigil',RU,71.19,few clouds,57.8,158.6667,Tigil'
309,Gabú,GW,74.26,moderate rain,12.2833,-14.2167,Hotel karsa
315,Bambanglipuro,ID,75.2,overcast clouds,-7.95,110.2833,Puri Brata
321,Vanimo,PG,78.4,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
327,Dapaong,TG,77.7,overcast clouds,10.8639,0.205,Hotel Caroli
330,Lafia,NG,72.75,light rain,8.4833,8.5167,Low Cost Housing Estate
331,Linqing,CN,76.35,broken clouds,36.8456,115.7117,Dongfang Hotel
332,Ranong,TH,77.88,light rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
333,Chongoyape,PE,75.34,broken clouds,-6.6406,-79.3892,Hostal Mulato & Chaparri
336,Constantine,DZ,78.21,clear sky,36.365,6.6147,Grand Hotel Cirta
344,Udgīr,IN,72.95,overcast clouds,18.3833,77.1167,Sarpmitra Ganesh Kallure
345,Ponta Delgada,PT,73.51,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
346,Quang Ngai,VN,75.25,broken clouds,15.1167,108.8,Central Hotel
347,Shenjiamen,CN,79.03,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
350,Mwene-Ditu,CD,72.64,broken clouds,-7.0,23.45,African'zuri
351,Camopi,GF,74.03,overcast clouds,3.1655,-52.3158,La pousada
354,Pala,TD,74.07,overcast clouds,9.3642,14.9046,Hotel Pala Palace
360,Kota Bharu,MY,76.98,few clouds,6.1333,102.2386,Grand Riverview Hotel
363,Kamaishi,JP,71.6,light rain,39.2667,141.8833,Hotel Route Inn Kamaishi
367,Yichang,CN,79.41,broken clouds,30.7144,111.2847,Gezhouba Hotel
368,Coruripe,BR,72.88,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
371,Alaşehir,TR,71.15,clear sky,38.3508,28.5172,Seçil Otel
373,Suileng,CN,72.72,broken clouds,47.25,127.0833,Bihai Chunju Hotel
377,Belawan,ID,75.49,overcast clouds,3.7755,98.6832,Rumah Mamak Bapak M.Radial
380,Coari,BR,75.31,overcast clouds,-4.085,-63.1414,Dellrey Hotel Center
383,Garissa,KE,71.96,clear sky,-0.4536,39.6401,Sharif Plaza Hotel
406,Kwang Binh,VN,77.36,overcast clouds,17.4833,106.6,Nam Long Hotel
408,Maceió,BR,76.44,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
415,Aigeira,GR,78.66,clear sky,38.15,22.35,Meliti guesthouse
418,Meulaboh,ID,77.2,overcast clouds,4.1363,96.1285,Kost Pria
422,Ariquemes,BR,79.63,clear sky,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
429,Labuhan,ID,75.18,overcast clouds,-6.8844,112.2051,DoubleFAG
430,Bat Khela,PK,78.17,overcast clouds,34.6167,71.9714,Electric and pipe fitting
433,Esmeraldas,BR,70.66,broken clouds,-19.7625,-44.3139,Forasteiro Pousada
434,Praia,CV,77.54,scattered clouds,14.9215,-23.5087,LT Aparthotel
444,Teguise,ES,70.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
446,Taraz,KZ,72.01,clear sky,42.9,71.3667,Comfort Inn
457,Ducheng,CN,78.82,clear sky,23.2373,111.5317,Xinyongguang Hotel
460,Chittaurgarh,IN,77.09,overcast clouds,24.8833,74.6333,Hotel Radhey Heritage
464,Korla,CN,74.19,clear sky,41.7597,86.1469,Gulisitan Hotel
466,Yatou,CN,74.52,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
470,Arona,ES,79.7,clear sky,28.0996,-16.681,Paradise Court
472,Belmonte,BR,71.4,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
473,Sorong,ID,78.48,few clouds,-0.8833,131.25,Waigo Splash Hotel
478,Tautira,PF,74.8,light rain,-17.7333,-149.15,Pension Oaoa
480,Can Tho,VN,71.58,scattered clouds,10.0333,105.7833,Kim Lan Hotel Can Tho
482,Shubarkuduk,KZ,71.42,overcast clouds,49.1447,56.4872,Sirius
486,Domoni,KM,74.8,few clouds,-12.2569,44.5319,Al Djadid
487,Carauari,BR,77.5,broken clouds,-4.8828,-66.8958,Hotel Fellip
498,Impfondo,CG,71.82,moderate rain,1.6381,18.0667,Auberge La Place de Jules
501,Kapit,MY,74.07,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
503,Biograd na Moru,HR,75.76,clear sky,43.9433,15.4519,Villa Maimare
507,Bandarbeyla,SO,76.44,few clouds,9.4942,50.8122,JABIR HOTEL
514,Ushtobe,KZ,75.58,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
519,Sarankhola,BD,79.9,light rain,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
521,Borzya,RU,72.16,broken clouds,50.3833,116.5167,Tikhiy
523,Manacapuru,BR,77.4,moderate rain,-3.2997,-60.6206,Novo Hotel
531,Hambantota,LK,78.62,overcast clouds,6.1241,81.1185,Bungalow 63
533,Maumere,ID,77.68,overcast clouds,-8.6199,122.2111,Sylvia Hotel
534,Eureka,US,71.2,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
536,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
538,São João da Barra,BR,70.16,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
542,Itamaracá,BR,77.05,overcast clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
544,Hauterive,FR,72.36,clear sky,46.0901,3.4459,Aletti Palace Hotel
545,Ribas do Rio Pardo,BR,73.8,clear sky,-20.4431,-53.7592,Pousada Avenida
546,Chengde,CN,72.48,broken clouds,40.9725,117.9361,Super 8 Hotel
550,Kitimat,CA,71.91,few clouds,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
560,Isangel,VU,79.68,clear sky,-19.55,169.2667,Tanna Lodge
562,Tarazona,ES,78.62,clear sky,41.9,-1.7333,La Merced de la Concordia
567,Marsá Maţrūḩ,EG,75.67,clear sky,31.3525,27.2453,Beau Site
573,Itarema,BR,79.05,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
574,Altamira,BR,78.35,overcast clouds,-3.2033,-52.2064,Requinte Hotel
584,Mogadishu,SO,75.69,light rain,2.0371,45.3438,Hotel Juba
589,Mbanza-Ngungu,CD,70.21,few clouds,-5.25,14.8667,Hotel Full Business
592,Jiexiu,CN,77.07,overcast clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
596,Khon Buri,TH,79.54,overcast clouds,14.5254,102.2459,Bangchongjai Cottage
603,Zlobin,HR,71.58,clear sky,45.2924,14.6541,Hotel Bitoraj Fuzine
604,Saurimo,AO,72.68,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
605,Ariano Irpino,IT,74.61,clear sky,41.1489,15.0833,Hotel Incontro
609,Pemangkat,ID,78.08,light rain,1.1667,108.9667,Ramah Kost KITA
611,Guia Lopes da Laguna,BR,75.61,scattered clouds,-21.4578,-56.1142,Donna Lu
612,Neiafu,TO,77.38,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
613,Baruun-Urt,MN,72.36,overcast clouds,46.6806,113.2792,Ахмадын амралт сувилал
620,Namtsy,RU,72.81,broken clouds,62.7161,129.6658,"""Эңсиэли Киин"""
627,Waddān,LY,76.62,clear sky,29.1614,16.139,محل الشريف محمد العايب
630,Fukuechō,JP,78.04,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
632,Galle,LK,77.77,moderate rain,6.0367,80.217,Amangalla
633,Erenhot,CN,70.77,light rain,43.6475,111.9767,Erenhot Rurouni Youth Hostel
