,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tura,IN,25.5198,90.2201,74.21,97,100,3.71,light rain
80,Tommot,RU,58.9564,126.2925,69.78,77,47,0.49,scattered clouds
81,Thompson,CA,55.7435,-97.8558,66.36,63,75,6.91,broken clouds
82,Tianpeng,CN,30.9866,103.9393,75.63,96,100,3.6,overcast clouds
83,Nanortalik,GL,60.1432,-45.2371,49.91,76,3,7.67,clear sky
84,San Jose,US,37.3394,-121.895,95.9,39,0,10.36,clear sky
85,Casino,AU,-28.8667,153.05,58.82,90,100,7.0,moderate rain
86,Klaksvík,FO,62.2266,-6.589,49.12,86,47,3.65,scattered clouds
87,Chui,UY,-33.6971,-53.4616,51.85,89,92,6.29,overcast clouds
88,Hithadhoo,MV,-0.6,73.0833,79.95,75,100,8.03,very heavy rain
89,Aleksandrov Gay,RU,50.147,48.5704,65.66,79,32,0.76,scattered clouds
90,Kralendijk,BQ,12.15,-68.2667,84.18,79,20,16.11,few clouds
91,Margate,GB,51.3813,1.3862,64.9,79,14,4.0,few clouds
92,Palekastro,GR,35.2,26.25,75.51,62,0,19.1,clear sky
93,Port Alfred,ZA,-33.5906,26.891,57.18,77,0,8.39,clear sky
94,Wadi Maliz,TN,36.4681,8.5495,83.86,45,0,2.48,clear sky
95,Haines Junction,CA,60.7522,-137.5108,64.35,42,100,10.36,overcast clouds
96,Castro,BR,-24.7911,-50.0119,59.68,83,57,2.64,broken clouds
97,Tessalit,ML,20.1986,1.0114,88.32,36,62,8.63,broken clouds
98,Turbat,PK,26.0023,63.044,82.89,78,97,6.35,overcast clouds
99,Ţăndărei,RO,44.65,27.6667,66.4,55,0,4.18,clear sky
100,Kaitangata,NZ,-46.2817,169.8464,44.74,86,97,2.42,overcast clouds
101,Qaanaaq,GL,77.484,-69.3632,43.75,91,100,10.49,light rain
102,Horadiz,AZ,39.4488,47.3353,76.26,55,0,3.83,clear sky
103,Hobart,AU,-42.8794,147.3294,44.26,87,20,6.91,few clouds
104,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,94,100,6.91,light rain
105,Saint Paul Harbor,US,57.79,-152.4072,53.11,87,100,4.61,overcast clouds
106,Cabo San Lucas,MX,22.8909,-109.9124,98.19,59,79,14.9,broken clouds
107,Saint George,US,37.1041,-113.5841,111.63,11,0,11.01,clear sky
108,Yellowknife,CA,62.456,-114.3525,70.32,37,75,9.22,broken clouds
109,Kumul,CN,42.8,93.45,73.08,26,0,2.39,clear sky
110,Jāfarpur,IN,22.3208,88.2306,82.38,84,98,6.08,overcast clouds
111,Busselton,AU,-33.65,115.3333,58.48,79,71,9.19,broken clouds
112,Taoudenni,ML,22.6783,-3.9836,88.32,45,46,13.18,light rain
113,Grand Baie,MU,-20.0182,57.5802,69.46,73,76,5.99,broken clouds
114,Ulladulla,AU,-35.35,150.4667,56.91,77,50,8.46,scattered clouds
115,Srednekolymsk,RU,67.45,153.6833,53.82,40,0,8.03,clear sky
116,Natal,BR,-5.795,-35.2094,75.42,94,75,4.61,broken clouds
117,Okha,RU,53.5739,142.9478,56.28,78,100,13.15,overcast clouds
118,Corinth,GR,37.9407,22.9573,76.89,40,0,1.7,clear sky
119,Chunskiy,RU,56.0815,99.6342,59.86,75,100,4.18,overcast clouds
120,Şabyā,SA,17.1495,42.6254,89.22,58,60,4.9,broken clouds
121,Douglas,US,41.3,-96.167,94.51,34,0,5.75,clear sky
122,Kapaa,US,22.0752,-159.319,84.52,68,40,16.11,scattered clouds
123,Port Townsend,US,48.117,-122.7605,85.17,81,77,11.01,broken clouds
124,Puerto Rico,AR,-26.796,-55.024,66.6,80,99,2.91,overcast clouds
125,Tomatlán,MX,19.9333,-105.25,89.69,66,61,7.29,broken clouds
126,Tiksi,RU,71.6872,128.8694,42.06,81,91,8.39,overcast clouds
127,Takoradze,GH,4.8845,-1.7554,73.69,77,69,7.65,broken clouds
128,Gouré,NE,13.9835,10.2704,84.02,52,66,6.04,broken clouds
129,Dikson,RU,73.5069,80.5464,43.18,93,100,15.77,light rain
130,Saldanha,ZA,-33.0117,17.9442,46.45,81,99,10.38,overcast clouds
131,Sungai Penuh,ID,-2.0833,101.3833,63.63,96,99,3.51,overcast clouds
132,Rio Grande,BR,-32.035,-52.0986,62.71,99,100,6.93,overcast clouds
133,Charters Towers,AU,-20.1,146.2667,61.84,67,1,7.92,clear sky
134,Det Udom,TH,14.906,105.0784,73.22,96,80,5.68,broken clouds
135,Punta de Piedra,VE,7.6176,-71.4916,74.23,95,99,1.01,overcast clouds
136,Narsaq,GL,60.9167,-46.05,50.77,78,11,5.3,few clouds
137,Zhigansk,RU,66.7697,123.3711,60.93,95,90,11.25,light rain
138,Ous,RU,60.9058,61.5186,55.69,80,87,5.55,light rain
139,Asientos,MX,22.2333,-102.1,86.18,15,48,10.2,scattered clouds
140,Zhongshu,CN,24.5167,103.7667,63.46,94,100,2.77,overcast clouds
141,Avarua,CK,-21.2078,-159.775,73.45,78,75,16.11,broken clouds
