City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
63,63,Riviere-Du-Loup,CA,2022-07-18 20:01:17,47.8304,-69.5342,73.2,61,86,14.23
64,64,Bengkulu,ID,2022-07-18 20:03:11,-3.8004,102.2655,75.43,88,1,2.86
65,65,Kodiak,US,2022-07-18 20:03:12,57.79,-152.4072,62.11,59,0,18.41
66,66,Cape Town,ZA,2022-07-18 20:03:13,-33.9258,18.4232,57.11,82,24,7.0
67,67,Xuddur,SO,2022-07-18 20:03:14,4.1213,43.8894,73.0,69,80,17.78
68,68,Caravelas,BR,2022-07-18 20:01:41,-17.7125,-39.2481,73.38,69,68,5.5
69,69,Nara,JP,2022-07-18 20:03:15,34.6851,135.8049,79.5,80,100,3.24
70,70,Ankara,TR,2022-07-18 20:02:12,39.9199,32.8543,66.2,56,40,11.5
71,71,Severo-Kurilsk,RU,2022-07-18 20:03:16,50.6789,156.125,53.85,93,95,6.33
72,72,Vila Franca Do Campo,PT,2022-07-18 20:03:16,37.7167,-25.4333,73.81,85,43,4.47
73,73,Atuona,PF,2022-07-18 20:03:17,-9.8,-139.0333,77.27,70,15,15.82
74,74,Aqtobe,KZ,2022-07-18 20:03:17,50.2797,57.2072,86.09,32,0,13.42
75,75,Yaan,NG,2022-07-18 20:03:18,7.3833,8.5667,74.97,77,71,5.1
76,76,Ixtapa,MX,2022-07-18 20:00:15,20.7,-105.2,90.23,64,48,5.01
77,77,Borger,NL,2022-07-18 20:03:19,52.9233,6.7931,75.27,72,11,3.67
78,78,Dunedin,NZ,2022-07-18 20:01:40,-45.8742,170.5036,49.8,90,100,7.0
79,79,Vardo,NO,2022-07-18 20:03:20,70.3705,31.1107,57.18,82,0,6.91
80,80,Provideniya,RU,2022-07-18 20:03:20,64.3833,-173.3,42.98,67,100,25.93
81,81,Kemijarvi,FI,2022-07-18 20:03:21,66.7131,27.4306,53.53,80,100,4.27
82,82,Artyom,AZ,2022-07-18 20:03:21,40.4723,50.333,80.74,77,0,16.46
83,83,Les Cayes,HT,2022-07-18 20:03:22,18.2,-73.75,86.56,64,5,14.83
84,84,Joliette,CA,2022-07-18 20:03:22,46.0168,-73.4492,73.94,85,100,4.74
85,85,Ploemeur,FR,2022-07-18 20:03:23,47.7333,-3.4333,87.89,33,0,2.3
86,86,Kabinda,CD,2022-07-18 20:03:23,-6.1333,24.4833,77.88,32,100,4.59
87,87,Talnakh,RU,2022-07-18 20:03:24,69.4865,88.3972,54.63,63,96,3.06
88,88,Mayo,US,2022-07-18 20:03:25,38.8876,-76.5119,93.61,77,40,13.8
89,89,Gorontalo,ID,2022-07-18 20:03:25,0.5412,123.0595,72.61,91,100,2.42
90,90,Vanimo,PG,2022-07-18 20:04:26,-2.6741,141.3028,75.99,90,84,3.04
91,91,Iqaluit,CA,2022-07-18 20:04:26,63.7506,-68.5145,45.7,81,65,11.99
92,92,Faanui,PF,2022-07-18 20:04:27,-16.4833,-151.75,76.82,67,94,8.03
93,93,Cherskiy,RU,2022-07-18 20:04:28,68.75,161.3,52.47,53,42,5.86
94,94,Gat,IL,2022-07-18 20:04:28,31.61,34.7642,80.4,100,0,2.28
95,95,Bredasdorp,ZA,2022-07-18 20:04:29,-34.5322,20.0403,54.57,83,100,2.59
96,96,Punta Alta,AR,2022-07-18 20:00:30,-38.8759,-62.0736,51.22,36,4,5.57
97,97,Naranjal,EC,2022-07-18 20:04:30,-2.6667,-79.6167,81.81,68,100,3.24
98,98,Chuy,UY,2022-07-18 20:04:31,-33.6971,-53.4616,53.15,75,4,4.29
99,99,Ribeira Grande,PT,2022-07-18 20:04:31,38.5167,-28.7,73.8,94,75,10.36
100,100,Bilibino,RU,2022-07-18 20:04:32,68.0546,166.4372,45.41,63,100,2.89
101,101,Vaini,TO,2022-07-18 20:04:32,-21.2,-175.2,75.36,83,75,11.5
102,102,Makinsk,KZ,2022-07-18 20:04:33,52.6292,70.4169,59.0,65,6,6.35
103,103,Cantagallo,CO,2022-07-18 20:04:33,7.376,-73.9196,92.97,47,33,2.95
104,104,Saskylakh,RU,2022-07-18 20:04:34,71.9167,114.0833,43.18,82,100,12.33
105,105,Djenne,ML,2022-07-18 20:04:34,13.9061,-4.5533,89.64,46,70,13.67
106,106,Hilo,US,2022-07-18 20:04:35,19.7297,-155.09,91.27,85,100,8.05
107,107,Mutoko,ZW,2022-07-18 20:04:35,-17.397,32.2268,55.06,62,32,5.23
108,108,Klaksvik,FO,2022-07-18 20:04:36,62.2266,-6.589,52.72,89,100,6.69
109,109,Kavaratti,IN,2022-07-18 20:04:36,10.5669,72.642,80.01,81,100,21.9
